,time,btc_change,eth_change
654,2020-10-16,-1.62,-3.21
655,2020-10-17,0.36,0.77
656,2020-10-18,1.26,2.66
657,2020-10-19,2.16,0.31
658,2020-10-20,1.35,-2.84
659,2020-10-21,7.31,5.93
660,2020-10-22,1.47,6.06
661,2020-10-23,-0.35,-1.17
662,2020-10-24,1.46,0.72
663,2020-10-25,-0.63,-1.52
664,2020-10-26,0.17,-3.28
665,2020-10-27,4.47,2.78
666,2020-10-28,-2.71,-3.76
667,2020-10-29,1.43,-0.28
668,2020-10-30,0.78,-1.2
669,2020-10-31,1.7,1.01
670,2020-11-01,-0.21,2.65
671,2020-11-02,-1.54,-3.44
672,2020-11-03,3.5,1.27
673,2020-11-04,0.86,3.77
674,2020-11-05,10.22,3.53
675,2020-11-06,-0.06,9.4
676,2020-11-07,-4.89,-4.54
677,2020-11-08,4.43,4.39
678,2020-11-09,-0.95,-2.19
679,2020-11-10,-0.2,1.35
680,2020-11-11,2.53,2.83
681,2020-11-12,3.87,-0.15
682,2020-11-13,0.18,3.02
683,2020-11-14,-1.53,-3.26
684,2020-11-15,-0.7,-2.78
685,2020-11-16,4.74,2.79
686,2020-11-17,5.66,4.7
687,2020-11-18,0.66,-0.77
688,2020-11-19,0.14,-1.5
689,2020-11-20,4.79,8.25
690,2020-11-21,0.26,8.28
691,2020-11-22,-1.55,1.38
692,2020-11-23,-0.25,8.67
693,2020-11-24,4.31,-0.59
694,2020-11-25,-2.3,-5.86
695,2020-11-26,-8.38,-8.7
696,2020-11-27,-0.06,-0.22
697,2020-11-28,3.39,3.65
698,2020-11-29,2.63,7.22
699,2020-11-30,8.31,7.0
700,2020-12-01,-4.73,-5.09
701,2020-12-02,2.34,1.99
702,2020-12-03,1.13,3.18
703,2020-12-04,-3.97,-7.89
704,2020-12-05,2.67,5.21
705,2020-12-06,1.11,0.79
706,2020-12-07,-0.99,-1.71
707,2020-12-08,-4.4,-6.14
708,2020-12-09,1.19,3.27
709,2020-12-10,-1.55,-2.48
710,2020-12-11,-1.2,-2.6
711,2020-12-12,4.28,4.33
712,2020-12-13,1.95,3.98
713,2020-12-14,0.51,-0.77
714,2020-12-15,0.79,0.4
715,2020-12-16,9.83,8.22
716,2020-12-17,6.85,0.87
717,2020-12-18,1.36,1.73
718,2020-12-19,3.09,0.65
719,2020-12-20,-1.54,-3.02
720,2020-12-21,-3.14,-4.78
721,2020-12-22,4.8,4.73
722,2020-12-23,-2.43,-7.99
723,2020-12-24,2.14,4.58
724,2020-12-25,4.14,2.37
725,2020-12-26,7.21,1.7
726,2020-12-27,-0.8,7.48
727,2020-12-28,3.04,6.61
728,2020-12-29,1.13,0.22
729,2020-12-30,5.44,2.76
730,2020-12-31,0.17,-2.09
731,2021-01-01,1.41,-1.02
732,2021-01-02,9.7,6.26
733,2021-01-03,2.56,26.32
734,2021-01-04,-3.06,6.45
735,2021-01-05,6.13,5.58
736,2021-01-06,8.31,9.84
737,2021-01-07,7.24,1.33
738,2021-01-08,2.92,-0.65
739,2021-01-09,-1.23,4.87
740,2021-01-10,-4.83,-1.7
741,2021-01-11,-7.2,-13.33
742,2021-01-12,-3.84,-3.39
743,2021-01-13,9.76,7.57
744,2021-01-14,4.74,9.01
745,2021-01-15,-6.14,-5.14
746,2021-01-16,-2.02,5.08
747,2021-01-17,-0.46,0.38
748,2021-01-18,2.25,2.11
749,2021-01-19,-2.0,8.49
750,2021-01-20,-1.21,0.85
751,2021-01-21,-13.02,-19.3
752,2021-01-22,6.78,10.85
753,2021-01-23,-2.65,0.08
754,2021-01-24,0.57,12.89
755,2021-01-25,-0.02,-5.34
756,2021-01-26,0.66,3.67
757,2021-01-27,-6.46,-9.33
758,2021-01-28,9.89,7.33
759,2021-01-29,2.65,3.77
760,2021-01-30,0.05,-0.11
761,2021-01-31,-3.41,-4.75
762,2021-02-01,1.31,4.7
763,2021-02-02,5.82,10.03
764,2021-02-03,6.05,10.09
765,2021-02-04,-1.82,-4.14
766,2021-02-05,3.66,7.75
767,2021-02-06,2.34,-2.48
768,2021-02-07,-0.98,-3.86
769,2021-02-08,19.54,8.61
770,2021-02-09,0.1,1.11
771,2021-02-10,-3.47,-1.6
772,2021-02-11,7.06,2.58
773,2021-02-12,-1.42,3.05
774,2021-02-13,-0.31,-1.37
775,2021-02-14,3.01,-0.82
